date,code,open,high,low,close,volume,amount,adjustflag
2015-01-05,sz.000001,10.2310895700,10.4166440400,9.9815508000,10.2502848600,286043648,4565387776.0000,2
2015-01-06,sz.000001,10.1415115500,10.4870267700,9.9495586500,10.0967225400,216642140,3453446160.0000,2
2015-01-07,sz.000001,9.9559570800,10.1287146900,9.7895979000,9.9047696400,170012067,2634796416.0000,2
2015-01-08,sz.000001,9.9175665000,9.9623555100,9.5336607000,9.5720512800,140771421,2128003424.0000,2
2015-01-09,sz.000001,9.5336607000,10.1543084100,9.4120905300,9.6488324400,250850023,3835378096.0000,2
2015-01-12,sz.000001,9.5144654100,9.6296371500,9.2777235000,9.4504811100,155329086,2293104608.0000,2
2015-01-13,sz.000001,9.3736999500,9.5336607000,9.3481062300,9.3928952400,81687477,1204987152.0000,2
2015-01-14,sz.000001,9.4568795400,9.7256136000,9.4056921000,9.4760748300,126302964,1889296672.0000,2
2015-01-15,sz.000001,9.5016685500,9.8215900500,9.4120905300,9.8215900500,124217032,1868795904.0000,2
2015-01-16,sz.000001,9.8535822000,9.9943476600,9.7128167400,9.8343869100,155584633,2403346192.0000,2
2015-01-19,sz.000001,8.9642004300,9.3225125100,8.8490286900,8.8490286900,213712366,3016203088.0000,2
2015-01-20,sz.000001,8.8490286900,8.9961925800,8.6762710800,8.8490286900,149101811,2064280560.0000,2
2015-01-21,sz.000001,8.8810208400,9.3417078000,8.7978412500,9.2265360600,194053037,2758192752.0000,2
2015-01-22,sz.000001,9.1753486200,9.2905203600,9.0601768800,9.1497549000,125501611,1801436256.0000,2
2015-01-23,sz.000001,9.1881454800,9.3609030900,9.1497549000,9.2137392000,145918192,2108746800.0000,2
2015-01-26,sz.000001,9.1881454800,9.2393329200,9.0601768800,9.1753486200,105760580,1508446592.0000,2
2015-01-27,sz.000001,9.1817470500,9.1945439100,8.8490286900,8.9514035700,133949466,1881058960.0000,2
2015-01-28,sz.000001,8.8746224100,9.1497549000,8.8298334000,8.9961925800,124087755,1742175728.0000,2
2015-01-29,sz.000001,8.8426302600,8.9642004300,8.7978412500,8.8938177000,101675329,1408825360.0000,2
2015-01-30,sz.000001,8.9130129900,9.0345831600,8.8042396800,8.9130129900,93011669,1298735712.0000,2
2015-02-02,sz.000001,8.7018648000,8.8298334000,8.6698726500,8.7210600900,86093216,1176949552.0000,2
2015-02-03,sz.000001,8.8170365400,8.9514035700,8.7146616600,8.9258098500,88334914,1217876592.0000,2
2015-02-04,sz.000001,8.9578020000,8.9833957200,8.7658491000,8.7722475300,80762311,1122666752.0000,2
2015-02-05,sz.000001,9.1497549000,9.2329344900,8.8042396800,8.8234349700,191372916,2710523888.0000,2
2015-02-06,sz.000001,8.7594506700,8.9258098500,8.5738962000,8.6442789300,103040856,1411298592.0000,2
2015-02-09,sz.000001,8.6378805000,8.7530522400,8.4587244600,8.6506773600,94658628,1273141152.0000,2
2015-02-10,sz.000001,8.6314820700,8.8426302600,8.5866930600,8.8106381100,72487537,991823744.0000,2
2015-02-11,sz.000001,8.8170365400,8.8618255500,8.7530522400,8.7850443900,55434951,763414576.0000,2
2015-02-12,sz.000001,8.7978412500,8.8938177000,8.7146616600,8.8682239800,60871568,838611232.0000,2
2015-02-13,sz.000001,8.9130129900,9.0729737400,8.8554271200,8.9258098500,88774310,1244514800.0000,2
2015-02-16,sz.000001,8.9258098500,8.9642004300,8.7850443900,8.9066145600,72120239,999898464.0000,2
2015-02-17,sz.000001,8.9322082800,9.0281847300,8.9130129900,8.9514035700,68049159,954430240.0000,2
2015-02-25,sz.000001,8.9833957200,8.9897941500,8.8042396800,8.8298334000,57739233,799193632.0000,2
2015-02-26,sz.000001,8.8298334000,9.0089894400,8.7018648000,9.0025910100,102554424,1424064864.0000,2
2015-02-27,sz.000001,8.9961925800,9.0601768800,8.9322082800,8.9514035700,79357014,1115146048.0000,2
2015-03-02,sz.000001,8.9769972900,9.0153878700,8.8746224100,8.9769972900,101879700,1423603264.0000,2
2015-03-03,sz.000001,8.9450051400,8.9450051400,8.6954663700,8.7018648000,105947629,1457305040.0000,2
2015-03-04,sz.000001,8.7146616600,8.7786459600,8.6378805000,8.6826695100,81497304,1108145424.0000,2
2015-03-05,sz.000001,8.6378805000,8.6570757900,8.5035134700,8.5610993400,82860485,1109151968.0000,2
2015-03-06,sz.000001,8.5547009100,8.6442789300,8.5419040500,8.5994899200,55704774,748959120.0000,2
2015-03-09,sz.000001,8.6186852100,9.1753486200,8.5227087600,9.0537784500,220532361,3067985536.0000,2
2015-03-10,sz.000001,8.9578020000,9.0345831600,8.8106381100,8.8106381100,138570630,1927581936.0000,2
2015-03-11,sz.000001,8.8234349700,9.0089894400,8.8234349700,8.8682239800,90335413,1258356128.0000,2
2015-03-12,sz.000001,9.0857706000,9.5720512800,9.0089894400,9.3417078000,330513728,4805590272.0000,2
2015-03-13,sz.000001,9.5336607000,9.9879492300,9.4696764000,9.5912465700,316398832,4799935232.0000,2
